x_utm,y_utm,z_utm,aCT_RP_Res_nT,Std_dev[nT]
368934,2531821,1382.761848,-21.79685991,0.1
368934,2531921,1373.322217,5.302503847,0.1
368934,2532021,1350.670186,110.0700362,0.1
368934,2532121,1332.019146,24.4865698,0.1
368934,2532321,1337.729044,-11.55835373,0.1
368934,2532421,1347.361499,-21.04775437,0.1
368934,2532521,1355.233383,-19.702194,0.1
368934,2532621,1361.156074,-18.1944304,0.1
368934,2532721,1363.034146,-17.00869735,0.1
368934,2532821,1360.617492,-15.40711149,0.1
368934,2532921,1358.848772,-13.66857044,0.1
368934,2533021,1359.358669,-11.62907272,0.1
368934,2533121,1360.028461,-9.569950763,0.1
368934,2533221,1362.471736,-6.406838668,0.1
369034,2531721,1379.62729,-8.791820185,0.1
369034,2531821,1374.627988,-27.88746552,0.1
369034,2531921,1368.309938,22.55812159,0.1
369034,2532021,1353.849093,201.7088586,0.1
369034,2532121,1340.21821,161.3206319,0.1
369034,2532221,1339.211437,10.33761219,0.1
369034,2532321,1345.17243,-21.3538757,0.1
369034,2532421,1349.815809,-20.21365102,0.1
369034,2532521,1353.674787,-17.55545065,0.1
369034,2532621,1356.076865,-16.20646542,0.1
369034,2532721,1356.350721,-14.94940357,0.1
369034,2532821,1355.362408,-13.52195906,0.1
369034,2532921,1355.519291,-11.86000449,0.1
369034,2533021,1356.691531,-10.08085156,0.1
369034,2533121,1357.050671,-8.307822123,0.1
369034,2533221,1358.644172,-6.92835713,0.1
369134,2531721,1371.361447,-8.078527602,0.1
369134,2531821,1366.815343,-30.1023137,0.1
369134,2531921,1366.559685,18.33588429,0.1
369134,2532021,1362.65788,209.4354801,0.1
369134,2532121,1351.534908,168.2119903,0.1
369134,2532221,1341.578333,9.250628168,0.1
369134,2532321,1341.581609,-20.39234796,0.1
369134,2532421,1344.156584,-17.99641302,0.1
369134,2532521,1345.771317,-15.96057205,0.1
369134,2532621,1348.071661,-14.7575352,0.1
369134,2532721,1348.787215,-13.49403791,0.1
369134,2532821,1348.937833,-12.08384964,0.1
369134,2532921,1349.846048,-10.51258588,0.1
369134,2533021,1351.246155,-8.891126164,0.1
369134,2533121,1352.451535,-7.323385155,0.1
369134,2533221,1354.864872,-7.370566988,0.1
369234,2531721,1363.626303,-9.161367196,0.1
369234,2531821,1359.305845,-24.87802624,0.1
369234,2531921,1360.200703,14.27193007,0.1
369234,2532021,1360.725191,144.6381304,0.1
369234,2532121,1351.755273,119.8820738,0.1
369234,2532221,1339.11374,8.456775293,0.1
369234,2532321,1337.934825,-18.26707204,0.1
369234,2532421,1339.047941,-16.31031515,0.1
369234,2532521,1340.131204,-14.74313529,0.1
369234,2532621,1342.177417,-13.67153892,0.1
369234,2532721,1343.221777,-12.50272374,0.1
369234,2532821,1344.079211,-11.12676987,0.1
369234,2532921,1345.568705,-9.636393443,0.1
369234,2533021,1346.921316,-8.128705437,0.1
369234,2533121,1347.763023,-6.704349815,0.1
