 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   325.000,    675.000,     0.010, 0.1129E+01,  0.100
   325.000,    725.000,     0.010, 0.1051E+01,  0.100
   325.000,    775.000,     0.010, 0.1051E+01,  0.100
   325.000,    825.000,     0.010, 0.9171E+00,  0.100
   325.000,    875.000,     0.010, 0.1109E+01,  0.100
   325.000,    925.000,     0.010, 0.8869E+00,  0.100
   325.000,    975.000,     0.010, 0.6775E+00,  0.100
   375.000,     25.000,     0.010, 0.5078E+00,  0.100
   375.000,     75.000,     0.010, 0.6816E+00,  0.100
   375.000,    125.000,     0.010, 0.1010E+01,  0.100
   375.000,    175.000,     0.010, 0.1256E+01,  0.100
   375.000,    225.000,     0.010, 0.1449E+01,  0.100
   375.000,    275.000,     0.010, 0.1413E+01,  0.100
   375.000,    325.000,     0.010, 0.1537E+01,  0.100
   375.000,    375.000,     0.010, 0.1406E+01,  0.100
   375.000,    425.000,     0.010, 0.1328E+01,  0.100
   375.000,    475.000,     0.010, 0.1107E+01,  0.100
   375.000,    525.000,     0.010, 0.1275E+01,  0.100
   375.000,    575.000,     0.010, 0.1393E+01,  0.100
   375.000,    625.000,     0.010, 0.1363E+01,  0.100
   375.000,    675.000,     0.010, 0.1100E+01,  0.100
   375.000,    725.000,     0.010, 0.1298E+01,  0.100
   375.000,    775.000,     0.010, 0.1067E+01,  0.100
   375.000,    825.000,     0.010, 0.1282E+01,  0.100
   375.000,    875.000,     0.010, 0.9072E+00,  0.100
   375.000,    925.000,     0.010, 0.6949E+00,  0.100
   375.000,    975.000,     0.010, 0.6763E+00,  0.100
   425.000,     25.000,     0.010, 0.4792E+00,  0.100
   425.000,     75.000,     0.010, 0.7964E+00,  0.100
   425.000,    125.000,     0.010, 0.7785E+00,  0.100
   425.000,    175.000,     0.010, 0.9882E+00,  0.100
   425.000,    225.000,     0.010, 0.1181E+01,  0.100
   425.000,    275.000,     0.010, 0.1046E+01,  0.100
   425.000,    325.000,     0.010, 0.1298E+01,  0.100
   425.000,    375.000,     0.010, 0.1166E+01,  0.100
   425.000,    425.000,     0.010, 0.1235E+01,  0.100
   425.000,    475.000,     0.010, 0.1373E+01,  0.100
   425.000,    525.000,     0.010, 0.1043E+01,  0.100
   425.000,    575.000,     0.010, 0.1410E+01,  0.100
   425.000,    625.000,     0.010, 0.1438E+01,  0.100
   425.000,    675.000,     0.010, 0.1421E+01,  0.100
   425.000,    725.000,     0.010, 0.1120E+01,  0.100
   425.000,    775.000,     0.010, 0.1223E+01,  0.100
   425.000,    825.000,     0.010, 0.1152E+01,  0.100
   425.000,    875.000,     0.010, 0.1047E+01,  0.100
   425.000,    925.000,     0.010, 0.7190E+00,  0.100
   425.000,    975.000,     0.010, 0.7372E+00,  0.100
   475.000,     25.000,     0.010, 0.6469E+00,  0.100
   475.000,     75.000,     0.010, 0.8070E+00,  0.100
   475.000,    125.000,     0.010, 0.7718E+00,  0.100
   475.000,    175.000,     0.010, 0.9816E+00,  0.100
   475.000,    225.000,     0.010, 0.1092E+01,  0.100
   475.000,    275.000,     0.010, 0.1132E+01,  0.100
   475.000,    325.000,     0.010, 0.1003E+01,  0.100
   475.000,    375.000,     0.010, 0.1203E+01,  0.100
   475.000,    425.000,     0.010, 0.1190E+01,  0.100
   475.000,    475.000,     0.010, 0.1312E+01,  0.100
   475.000,    525.000,     0.010, 0.9939E+00,  0.100
   475.000,    575.000,     0.010, 0.1358E+01,  0.100
   475.000,    625.000,     0.010, 0.1434E+01,  0.100
