x,y,z,aCT_REM_nT,std_dev
290538,-266696,0.01,2.497358439,0.1
290538,-260196,0.01,4.519637726,0.1
290538,-253696,0.01,5.655696735,0.1
290538,-247196,0.01,5.712941933,0.1
290538,-240696,0.01,7.185591282,0.1
290538,-234196,0.01,10.10910508,0.1
290538,-227696,0.01,11.86246468,0.1
290538,-221196,0.01,15.0364975,0.1
290538,-214696,0.01,17.86769889,0.1
290538,-208196,0.01,18.4868494,0.1
290538,-201696,0.01,19.74915868,0.1
290538,-195196,0.01,20.06235592,0.1
290538,-188696,0.01,21.68042198,0.1
290538,-182196,0.01,24.24637772,0.1
290538,-175696,0.01,29.11758562,0.1
290538,-169196,0.01,36.11599811,0.1
290538,-162696,0.01,45.47213343,0.1
290538,-156196,0.01,56.64318826,0.1
290538,-149696,0.01,68.22441244,0.1
290538,-143196,0.01,78.65216962,0.1
290538,-136696,0.01,88.5814614,0.1
290538,-130196,0.01,96.4697146,0.1
290538,-123696,0.01,101.2139809,0.1
290538,-117196,0.01,104.2091655,0.1
297038,-331696,0.01,35.49744598,0.1
297038,-325196,0.01,48.78801829,0.1
297038,-318696,0.01,41.96510687,0.1
297038,-312196,0.01,21.34439302,0.1
297038,-305696,0.01,-2.059719781,0.1
297038,-299196,0.01,-19.75847919,0.1
297038,-292696,0.01,-26.86488417,0.1
297038,-286196,0.01,-17.56109299,0.1
297038,-279696,0.01,-4.372291906,0.1
297038,-273196,0.01,3.567072355,0.1
297038,-266696,0.01,3.634090378,0.1
297038,-260196,0.01,2.405671339,0.1
297038,-253696,0.01,2.908377605,0.1
297038,-247196,0.01,3.342475386,0.1
297038,-240696,0.01,6.342456028,0.1
297038,-234196,0.01,10.540978,0.1
297038,-227696,0.01,13.21640926,0.1
297038,-221196,0.01,16.23971353,0.1
297038,-214696,0.01,18.35595297,0.1
297038,-208196,0.01,19.52830814,0.1
297038,-201696,0.01,21.26159551,0.1
297038,-195196,0.01,21.79817978,0.1
297038,-188696,0.01,22.71676838,0.1
297038,-182196,0.01,23.41384189,0.1
297038,-175696,0.01,26.67735555,0.1
297038,-169196,0.01,34.3540564,0.1
297038,-162696,0.01,44.77645218,0.1
297038,-156196,0.01,58.6470415,0.1
297038,-149696,0.01,73.75580996,0.1
297038,-143196,0.01,88.7322698,0.1
297038,-136696,0.01,101.601421,0.1
297038,-130196,0.01,110.4418706,0.1
297038,-123696,0.01,114.9098791,0.1
297038,-117196,0.01,115.8433051,0.1
303538,-331696,0.01,13.19247331,0.1
303538,-325196,0.01,21.46724822,0.1
303538,-318696,0.01,20.59630937,0.1
303538,-312196,0.01,11.10184566,0.1
303538,-305696,0.01,-1.483552068,0.1
303538,-299196,0.01,-10.78972526,0.1
303538,-292696,0.01,-13.550893,0.1
303538,-286196,0.01,-7.677719372,0.1
303538,-279696,0.01,-0.722549596,0.1
303538,-273196,0.01,3.377393482,0.1
303538,-266696,0.01,1.7886378,0.1
303538,-260196,0.01,-1.050614492,0.1
303538,-253696,0.01,-0.368170858,0.1
303538,-247196,0.01,1.335215582,0.1
303538,-240696,0.01,5.346986764,0.1
303538,-234196,0.01,10.73892143,0.1
303538,-227696,0.01,14.48913788,0.1
303538,-221196,0.01,17.80798857,0.1
303538,-214696,0.01,19.67123099,0.1
303538,-208196,0.01,21.35273801,0.1
303538,-201696,0.01,23.53508661,0.1
303538,-195196,0.01,24.08560342,0.1
303538,-188696,0.01,23.68987077,0.1
303538,-182196,0.01,22.83027517,0.1
303538,-175696,0.01,24.54317565,0.1
303538,-169196,0.01,31.06807627,0.1
303538,-162696,0.01,41.53469462,0.1
303538,-156196,0.01,57.85991481,0.1
303538,-149696,0.01,77.69644519,0.1
303538,-143196,0.01,99.2073553,0.1
303538,-136696,0.01,116.7157913,0.1
303538,-130196,0.01,126.850125,0.1
303538,-123696,0.01,129.6629875,0.1
303538,-117196,0.01,126.3923045,0.1
310038,-331696,0.01,-7.841432029,0.1
310038,-325196,0.01,-0.393096856,0.1
310038,-318696,0.01,4.691369437,0.1
310038,-312196,0.01,4.2636277,0.1
310038,-305696,0.01,-0.660111764,0.1
310038,-299196,0.01,-4.331485993,0.1
310038,-292696,0.01,-3.882359958,0.1
310038,-286196,0.01,-0.367866385,0.1
