x_utm,y_utm,z_utm,aCB_Res_mGal,Std_dev[mGal]
367534,2531821,1359.978477,0.129138074,0.1
367534,2531921,1351.56908,0.355255401,0.1
367534,2532021,1346.570735,0.590463718,0.1
367534,2532121,1343.389584,0.765641675,0.1
367534,2532221,1339.787623,0.945344786,0.1
367534,2532321,1335.1988,1.037750968,0.1
367534,2532421,1334.764424,0.988940167,0.1
367534,2532521,1336.657462,0.892588279,0.1
367534,2532621,1340.811246,0.570130195,0.1
367534,2532721,1346.942517,0.345460024,0.1
367534,2532821,1356.730431,-0.136489305,0.1
367534,2532921,1372.273686,-0.576912504,0.1
367534,2533021,1397.304485,-0.627207218,0.1
367534,2533121,1436.624112,-0.595131612,0.1
367534,2533221,1486.474643,-0.643638782,0.1
367634,2531721,1379.446683,-0.428524859,0.1
367634,2531821,1364.898158,-0.119079192,0.1
367634,2531921,1354.970057,0.242500806,0.1
367634,2532021,1349.259161,0.547725319,0.1
367634,2532121,1342.655891,0.715812843,0.1
367634,2532221,1331.549892,0.955113361,0.1
367634,2532321,1321.603224,1.025775469,0.1
367634,2532421,1320.100404,0.640074425,0.1
367634,2532621,1329.859783,0.702823209,0.1
367634,2532721,1339.169315,0.321961312,0.1
367634,2532821,1355.786483,-0.32618751,0.1
367634,2532921,1379.262845,-0.828158591,0.1
367634,2533021,1412.110633,-0.612585576,0.1
367634,2533121,1454.635912,-0.341520142,0.1
367634,2533221,1499.824953,-0.140505242,0.1
367734,2531721,1389.707131,-0.916104312,0.1
367734,2531821,1368.850128,-0.388729183,0.1
367734,2531921,1357.115775,0.239952954,0.1
367734,2532021,1350.537459,0.819659379,0.1
367734,2532221,1320.750629,0.948242653,0.1
367734,2532321,1310.385229,0.929960061,0.1
367734,2532421,1310.801655,0.65957325,0.1
367734,2532621,1322.525585,0.437131751,0.1
367734,2532721,1336.007492,0.16935642,0.1
367734,2532821,1361.008857,-0.265335908,0.1
367734,2532921,1390.207218,-0.553604142,0.1
367734,2533021,1421.057892,-0.389390282,0.1
367734,2533121,1459.965683,-0.110548096,0.1
367734,2533221,1497.485495,0.159422891,0.1
367834,2531721,1401.727023,-1.300356643,0.1
367834,2531821,1371.682233,-0.655472752,0.1
367834,2531921,1357.126583,0.387809049,0.1
367834,2532021,1347.029179,1.48677851,0.1
367834,2532121,1329.033818,1.619427169,0.1
367834,2532221,1311.054506,1.217825536,0.1
367834,2532421,1309.286482,0.645584915,0.1
367834,2532521,1313.456066,0.475016915,0.1
367834,2532621,1317.417293,0.370548141,0.1
367834,2532721,1331.25532,0.339919777,0.1
367834,2532821,1359.652518,0.001082932,0.1
367834,2532921,1391.743954,-0.332884854,0.1
367834,2533021,1418.113952,-0.264962179,0.1
367834,2533121,1441.860218,-0.035375234,0.1
367834,2533221,1474.35005,0.235661613,0.1
367934,2531721,1414.148481,-1.514471067,0.1
367934,2531821,1378.157262,-1.010288909,0.1
367934,2531921,1359.02228,0.449836544,0.1
367934,2532021,1341.8042,2.113677983,0.1
367934,2532121,1319.364932,2.310110584,0.1
367934,2532221,1305.70134,1.284475892,0.1
367934,2532421,1306.545994,0.188732067,0.1
367934,2532621,1314.008801,0.47233646,0.1
367934,2532721,1324.688499,0.872429702,0.1
