x_m,y_m,z_m,mg_nT,std_dev
536873,2122233,4854.16946,953.5846199,1
536873,2124233,4428.260868,116.2335714,1
538873,2092233,2864.092098,-269.0908329,1
538873,2094233,3019.169021,-195.424416,1
538873,2096233,3283.649593,-131.2221485,1
538873,2098233,3677.900902,-152.6656433,1
538873,2100233,4202.846142,-286.8275497,1
538873,2102233,5025.039069,1151.534238,1
538873,2104233,5191.90244,1319.524619,1
538873,2106233,4383.020032,-768.5322008,1
538873,2108233,4202.154472,-365.0334777,1
538873,2110233,3930.326208,57.12232965,1
538873,2112233,3961.925724,-29.59046282,1
538873,2114233,4090.838944,191.8635222,1
538873,2116233,4579.972228,-504.3680479,1
538873,2118233,4865.94053,-1099.799258,1
538873,2120233,4921.689867,482.867149,1
538873,2122233,4593.761825,1141.589062,1
538873,2124233,4505.562697,664.930534,1
540873,2092233,2936.863053,-242.1016067,1
540873,2094233,3049.869757,-190.0724571,1
540873,2096233,3213.170926,-147.5914083,1
540873,2098233,3489.298094,-130.6489716,1
540873,2100233,4017.947075,-321.4325255,1
540873,2102233,4740.253305,832.8431191,1
540873,2104233,4880.790098,1499.137935,1
540873,2106233,4388.595224,-415.6022397,1
540873,2108233,3938.431757,-489.9919843,1
540873,2110233,3749.389066,-114.8955615,1
540873,2112233,3919.421635,-152.5810384,1
540873,2114233,3967.699288,33.7462124,1
540873,2116233,4122.068146,-56.03562038,1
540873,2118233,4130.81062,-667.2869082,1
540873,2120233,4345.896575,70.08484294,1
540873,2122233,3959.179928,317.0456967,1
540873,2124233,4056.935687,805.1744489,1
542873,2092233,2718.792254,-187.214481,1
542873,2094233,2924.413607,-158.9565698,1
542873,2096233,3094.702522,-102.2483881,1
542873,2098233,3354.59029,-47.52763095,1
542873,2100233,3535.896928,-6.290341528,1
542873,2102233,3913.648813,68.8929327,1
542873,2104233,4100.626705,623.8364129,1
542873,2106233,4090.382199,280.5652214,1
542873,2108233,3707.375537,-234.7372756,1
542873,2110233,3558.090862,-198.2669314,1
542873,2112233,3526.749951,-228.3621981,1
542873,2114233,3668.850132,-50.78180912,1
542873,2116233,3881.728084,50.17974628,1
542873,2118233,3933.6339,-227.9170526,1
542873,2120233,3858.624002,146.7686991,1
542873,2122233,3718.425171,-81.55755821,1
542873,2124233,3699.97864,220.5494814,1
544873,2092233,2613.3027,-119.5958486,1
544873,2094233,2758.946706,-106.3614458,1
