 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   325.000,    675.000,     0.010, 0.1250E+01,  0.100
   325.000,    725.000,     0.010, 0.1228E+01,  0.100
   325.000,    775.000,     0.010, 0.1168E+01,  0.100
   325.000,    825.000,     0.010, 0.1072E+01,  0.100
   325.000,    875.000,     0.010, 0.9495E+00,  0.100
   325.000,    925.000,     0.010, 0.8169E+00,  0.100
   325.000,    975.000,     0.010, 0.6879E+00,  0.100
   375.000,     25.000,     0.010, 0.6286E+00,  0.100
   375.000,     75.000,     0.010, 0.7880E+00,  0.100
   375.000,    125.000,     0.010, 0.9838E+00,  0.100
   375.000,    175.000,     0.010, 0.1188E+01,  0.100
   375.000,    225.000,     0.010, 0.1352E+01,  0.100
   375.000,    275.000,     0.010, 0.1444E+01,  0.100
   375.000,    325.000,     0.010, 0.1458E+01,  0.100
   375.000,    375.000,     0.010, 0.1405E+01,  0.100
   375.000,    425.000,     0.010, 0.1321E+01,  0.100
   375.000,    475.000,     0.010, 0.1255E+01,  0.100
   375.000,    525.000,     0.010, 0.1232E+01,  0.100
   375.000,    575.000,     0.010, 0.1245E+01,  0.100
   375.000,    625.000,     0.010, 0.1270E+01,  0.100
   375.000,    675.000,     0.010, 0.1282E+01,  0.100
   375.000,    725.000,     0.010, 0.1263E+01,  0.100
   375.000,    775.000,     0.010, 0.1203E+01,  0.100
   375.000,    825.000,     0.010, 0.1104E+01,  0.100
   375.000,    875.000,     0.010, 0.9783E+00,  0.100
   375.000,    925.000,     0.010, 0.8415E+00,  0.100
   375.000,    975.000,     0.010, 0.7081E+00,  0.100
   425.000,     25.000,     0.010, 0.5984E+00,  0.100
   425.000,     75.000,     0.010, 0.7220E+00,  0.100
   425.000,    125.000,     0.010, 0.8633E+00,  0.100
   425.000,    175.000,     0.010, 0.1005E+01,  0.100
   425.000,    225.000,     0.010, 0.1123E+01,  0.100
   425.000,    275.000,     0.010, 0.1198E+01,  0.100
   425.000,    325.000,     0.010, 0.1228E+01,  0.100
   425.000,    375.000,     0.010, 0.1222E+01,  0.100
   425.000,    425.000,     0.010, 0.1200E+01,  0.100
   425.000,    475.000,     0.010, 0.1189E+01,  0.100
   425.000,    525.000,     0.010, 0.1204E+01,  0.100
   425.000,    575.000,     0.010, 0.1238E+01,  0.100
   425.000,    625.000,     0.010, 0.1276E+01,  0.100
   425.000,    675.000,     0.010, 0.1295E+01,  0.100
   425.000,    725.000,     0.010, 0.1279E+01,  0.100
   425.000,    775.000,     0.010, 0.1219E+01,  0.100
   425.000,    825.000,     0.010, 0.1120E+01,  0.100
   425.000,    875.000,     0.010, 0.9924E+00,  0.100
   425.000,    925.000,     0.010, 0.8535E+00,  0.100
   425.000,    975.000,     0.010, 0.7179E+00,  0.100
   475.000,     25.000,     0.010, 0.5747E+00,  0.100
   475.000,     75.000,     0.010, 0.6716E+00,  0.100
   475.000,    125.000,     0.010, 0.7756E+00,  0.100
   475.000,    175.000,     0.010, 0.8770E+00,  0.100
   475.000,    225.000,     0.010, 0.9636E+00,  0.100
   475.000,    275.000,     0.010, 0.1027E+01,  0.100
   475.000,    325.000,     0.010, 0.1066E+01,  0.100
   475.000,    375.000,     0.010, 0.1087E+01,  0.100
   475.000,    425.000,     0.010, 0.1104E+01,  0.100
   475.000,    475.000,     0.010, 0.1129E+01,  0.100
   475.000,    525.000,     0.010, 0.1169E+01,  0.100
   475.000,    575.000,     0.010, 0.1220E+01,  0.100
   475.000,    625.000,     0.010, 0.1267E+01,  0.100
   475.000,    675.000,     0.010, 0.1291E+01,  0.100
   475.000,    725.000,     0.010, 0.1277E+01,  0.100
   475.000,    775.000,     0.010, 0.1219E+01,  0.100
   475.000,    825.000,     0.010, 0.1119E+01,  0.100
   475.000,    875.000,     0.010, 0.9920E+00,  0.100
   475.000,    925.000,     0.010, 0.8530E+00,  0.100
   475.000,    975.000,     0.010, 0.7174E+00,  0.100
   525.000,     25.000,     0.010, 0.5633E+00,  0.100
   525.000,     75.000,     0.010, 0.6436E+00,  0.100
   525.000,    125.000,     0.010, 0.7258E+00,  0.100
   525.000,    175.000,     0.010, 0.8040E+00,  0.100
   525.000,    225.000,     0.010, 0.8723E+00,  0.100
   525.000,    275.000,     0.010, 0.9269E+00,  0.100
   525.000,    325.000,     0.010, 0.9687E+00,  0.100
