 x[m],y[m],z[m],mg[nT],Std_dev[nT]
   775.000,    175.000,     0.010, 0.1628E+02,  0.100
   775.000,    225.000,     0.010, 0.6715E+01,  0.100
   775.000,    275.000,     0.010,-0.2354E+01,  0.100
   775.000,    325.000,     0.010,-0.9098E+01,  0.100
   775.000,    375.000,     0.010,-0.1238E+02,  0.100
   775.000,    425.000,     0.010,-0.1218E+02,  0.100
   775.000,    475.000,     0.010,-0.9541E+01,  0.100
   775.000,    525.000,     0.010,-0.6180E+01,  0.100
   775.000,    575.000,     0.010,-0.3899E+01,  0.100
   775.000,    625.000,     0.010,-0.3951E+01,  0.100
   775.000,    675.000,     0.010,-0.6557E+01,  0.100
   775.000,    725.000,     0.010,-0.1091E+02,  0.100
   775.000,    775.000,     0.010,-0.1560E+02,  0.100
   775.000,    825.000,     0.010,-0.1920E+02,  0.100
   775.000,    875.000,     0.010,-0.2076E+02,  0.100
   775.000,    925.000,     0.010,-0.2016E+02,  0.100
   775.000,    975.000,     0.010,-0.1802E+02,  0.100
   825.000,     25.000,     0.010, 0.3974E+02,  0.100
   825.000,     75.000,     0.010, 0.3802E+02,  0.100
   825.000,    125.000,     0.010, 0.3159E+02,  0.100
   825.000,    175.000,     0.010, 0.2079E+02,  0.100
   825.000,    225.000,     0.010, 0.7504E+01,  0.100
   825.000,    275.000,     0.010,-0.5546E+01,  0.100
   825.000,    325.000,     0.010,-0.1570E+02,  0.100
   825.000,    375.000,     0.010,-0.2125E+02,  0.100
   825.000,    425.000,     0.010,-0.2215E+02,  0.100
   825.000,    475.000,     0.010,-0.1980E+02,  0.100
   825.000,    525.000,     0.010,-0.1620E+02,  0.100
   825.000,    575.000,     0.010,-0.1315E+02,  0.100
   825.000,    625.000,     0.010,-0.1175E+02,  0.100
   825.000,    675.000,     0.010,-0.1220E+02,  0.100
   825.000,    725.000,     0.010,-0.1393E+02,  0.100
   825.000,    775.000,     0.010,-0.1599E+02,  0.100
   825.000,    825.000,     0.010,-0.1742E+02,  0.100
   825.000,    875.000,     0.010,-0.1761E+02,  0.100
   825.000,    925.000,     0.010,-0.1651E+02,  0.100
   825.000,    975.000,     0.010,-0.1452E+02,  0.100
   875.000,     25.000,     0.010, 0.4973E+02,  0.100
   875.000,     75.000,     0.010, 0.4917E+02,  0.100
