x_m,y_m,z_m,mg_nT,stdev
542168,2105397,4306.487054,547.9508291,1
542168,2106397,4214.637595,22.8432238,1
542168,2107397,3985.351717,-259.1912075,1
542168,2108397,3780.124555,-312.1092054,1
542168,2109397,3669.146589,-254.7452327,1
542168,2110397,3657.690042,-182.2357834,1
542168,2111397,3590.464806,-182.3873377,1
543168,2092397,2706.06324,-152.0396182,1
543168,2093397,2805.034053,-144.6247271,1
543168,2094397,2879.224415,-123.5972441,1
543168,2095397,2971.284692,-91.58967618,1
543168,2096397,3083.228928,-62.08428486,1
543168,2097397,3199.651988,-34.3947271,1
543168,2098397,3319.777299,-6.085781848,1
543168,2099397,3374.164316,21.4845398,1
543168,2100397,3522.421193,31.49268296,1
543168,2101397,3685.159786,8.714534399,1
543168,2102397,3832.017461,74.49551241,1
543168,2103397,3955.114716,315.8714054,1
543168,2104397,4052.454107,533.6735418,1
543168,2105397,4094.898902,521.7374879,1
543168,2106397,3998.267735,298.3986108,1
543168,2107397,3782.238978,1.531583816,1
543168,2108397,3648.069369,-192.2011622,1
543168,2109397,3570.088396,-208.899905,1
543168,2110397,3517.563528,-166.2698298,1
543168,2111397,3495.931458,-176.4935439,1
544168,2092397,2687.322316,-120.0688712,1
544168,2093397,2730.014951,-117.9913738,1
544168,2094397,2841.462387,-101.2615006,1
544168,2095397,2861.225022,-62.38361823,1
544168,2096397,3017.230159,-22.71456796,1
544168,2097397,3085.946359,7.39873214,1
544168,2098397,3146.585044,24.51744301,1
544168,2099397,3251.313895,30.89162706,1
544168,2100397,3381.481595,37.48901291,1
544168,2101397,3441.149993,31.73928901,1
544168,2102397,3603.365106,-3.125749654,1
544168,2103397,3691.583302,50.55711188,1
544168,2104397,3797.933649,250.6320737,1
544168,2105397,3740.455341,408.0713314,1
544168,2106397,3676.370191,328.1333385,1
544168,2107397,3543.825379,79.74890564,1
544168,2108397,3496.525644,-94.71824552,1
544168,2109397,3430.95266,-116.0788129,1
544168,2110397,3477.953477,-101.5575964,1
544168,2111397,3428.88221,-113.0863365,1
545168,2092397,2599.139671,-92.21044832,1
545168,2093397,2715.1995,-91.42891942,1
545168,2094397,2701.87002,-72.66419553,1
545168,2095397,2762.177522,-34.57124567,1
545168,2096397,2876.197629,4.073313309,1
545168,2097397,2903.546325,22.96618299,1
545168,2098397,2986.615593,25.6893608,1
545168,2099397,3114.253254,22.46875859,1
545168,2100397,3201.922454,21.07107809,1
545168,2101397,3372.183984,27.67528431,1
545168,2102397,3428.536685,29.62952911,1
545168,2103397,3477.237228,38.16830725,1
545168,2104397,3520.128278,121.8736044,1
545168,2105397,3512.174241,225.9550333,1
545168,2106397,3489.731749,211.6152228,1
545168,2107397,3380.9379,86.98195689,1
545168,2108397,3347.444371,-19.34396131,1
545168,2109397,3324.923741,-52.23894911,1
545168,2110397,3303.949462,-52.65941955,1
545168,2111397,3302.515792,-53.41595498,1
546168,2092397,2521.549261,-76.15501667,1
546168,2093397,2541.935151,-74.06963328,1
546168,2094397,2607.988654,-50.39309675,1
546168,2095397,2688.524148,-13.80914832,1
546168,2096397,2761.156884,16.36666534,1
546168,2097397,2823.481207,23.90748648,1
546168,2098397,2897.540882,16.38495741,1
546168,2099397,2983.47544,13.37371551,1
546168,2100397,3096.174251,21.43379772,1
546168,2101397,3195.575643,37.50036238,1
546168,2102397,3274.366061,46.76530398,1
546168,2103397,3329.06547,30.25240745,1
546168,2104397,3333.278433,35.62870883,1
546168,2105397,3357.159251,99.47658841,1
