 x[m],y[m],z[m],mg[nT],Std_dev[nT]
   375.000,    825.000,     0.010,-0.2026E+02,  0.100
   375.000,    875.000,     0.010,-0.3925E+02,  0.100
   375.000,    925.000,     0.010,-0.3992E+02,  0.100
   375.000,    975.000,     0.010,-0.3763E+02,  0.100
   425.000,     25.000,     0.010, 0.2484E+02,  0.100
   425.000,     75.000,     0.010, 0.2631E+02,  0.100
   425.000,    125.000,     0.010, 0.1767E+02,  0.100
   425.000,    175.000,     0.010, 0.3614E+02,  0.100
   425.000,    225.000,     0.010, 0.1344E+02,  0.100
   425.000,    275.000,     0.010,-0.9947E+01,  0.100
   425.000,    325.000,     0.010,-0.2702E+02,  0.100
   425.000,    375.000,     0.010, 0.3791E+01,  0.100
   425.000,    425.000,     0.010,-0.1278E+02,  0.100
   425.000,    475.000,     0.010, 0.4778E+01,  0.100
   425.000,    525.000,     0.010, 0.2547E+02,  0.100
   425.000,    575.000,     0.010, 0.4003E+02,  0.100
   425.000,    625.000,     0.010, 0.3188E+02,  0.100
   425.000,    675.000,     0.010, 0.2836E+02,  0.100
   425.000,    725.000,     0.010, 0.1840E+02,  0.100
   425.000,    775.000,     0.010,-0.2706E+02,  0.100
   425.000,    825.000,     0.010,-0.3914E+01,  0.100
   425.000,    875.000,     0.010,-0.3903E+02,  0.100
   425.000,    925.000,     0.010,-0.4471E+02,  0.100
   425.000,    975.000,     0.010,-0.9218E+01,  0.100
   475.000,     25.000,     0.010, 0.6970E+01,  0.100
   475.000,     75.000,     0.010, 0.5492E+00,  0.100
   475.000,    125.000,     0.010, 0.1719E+02,  0.100
   475.000,    175.000,     0.010, 0.1193E+02,  0.100
   475.000,    225.000,     0.010, 0.1940E+02,  0.100
   475.000,    275.000,     0.010, 0.8213E+00,  0.100
   475.000,    325.000,     0.010,-0.2180E+02,  0.100
   475.000,    375.000,     0.010,-0.2155E+02,  0.100
   475.000,    425.000,     0.010,-0.1047E+02,  0.100
   475.000,    475.000,     0.010, 0.1542E+02,  0.100
   475.000,    525.000,     0.010, 0.5628E+01,  0.100
   475.000,    575.000,     0.010, 0.3136E+02,  0.100
   475.000,    625.000,     0.010, 0.1891E+02,  0.100
   475.000,    675.000,     0.010, 0.7810E+01,  0.100
   475.000,    725.000,     0.010, 0.1239E+02,  0.100
   475.000,    775.000,     0.010,-0.2655E+02,  0.100
   475.000,    825.000,     0.010,-0.2123E+01,  0.100
   475.000,    875.000,     0.010,-0.3908E+02,  0.100
   475.000,    925.000,     0.010,-0.4516E+02,  0.100
   475.000,    975.000,     0.010,-0.3785E+02,  0.100
   525.000,     25.000,     0.010, 0.1879E+02,  0.100
   525.000,     75.000,     0.010, 0.3107E+02,  0.100
   525.000,    125.000,     0.010, 0.2654E+02,  0.100
   525.000,    175.000,     0.010, 0.2066E+02,  0.100
   525.000,    225.000,     0.010, 0.1358E+01,  0.100
   525.000,    275.000,     0.010, 0.1623E+02,  0.100
   525.000,    325.000,     0.010,-0.1866E+02,  0.100
   525.000,    375.000,     0.010,-0.1381E+02,  0.100
   525.000,    425.000,     0.010, 0.8409E+01,  0.100
   525.000,    475.000,     0.010,-0.6306E+00,  0.100
   525.000,    525.000,     0.010, 0.2816E+02,  0.100
   525.000,    575.000,     0.010, 0.8709E+01,  0.100
   525.000,    625.000,     0.010, 0.4622E+01,  0.100
   525.000,    675.000,     0.010, 0.1642E+02,  0.100
   525.000,    725.000,     0.010, 0.1827E+02,  0.100
   525.000,    775.000,     0.010,-0.1622E+02,  0.100
   525.000,    825.000,     0.010,-0.2787E+02,  0.100
