x_m,y_m,z_dem,mg_aeroSGM_anomCT[nT],std_dev[nT]
369142.281,2531844,1665.18,-69.869,0.01
369142.281,2531944,1666.59,-69.921,0.01
369142.281,2532044,1661.55,-70.055,0.01
369142.281,2532144,1648.7,-70.189,0.01
369142.281,2532244,1640.92,-70.323,0.01
369142.281,2532344,1641.69,-70.457,0.01
369142.281,2532444,1644.11,-70.591,0.01
369142.281,2532544,1645.57,-70.725,0.01
369142.281,2532644,1647.92,-70.86,0.01
369142.281,2532744,1648.24,-70.994,0.01
369142.281,2532844,1648.66,-71.129,0.01
369142.281,2532944,1649.65,-71.263,0.01
369242.281,2531844,1658.08,-69.871,0.01
369242.281,2531944,1659.75,-69.921,0.01
369242.281,2532044,1659.12,-70.05,0.01
369242.281,2532144,1647.34,-70.18,0.01
369242.281,2532244,1637.92,-70.309,0.01
369242.281,2532344,1637.95,-70.438,0.01
369242.281,2532444,1638.93,-70.568,0.01
369242.281,2532544,1640.12,-70.697,0.01
369242.281,2532644,1642.17,-70.827,0.01
369242.281,2532744,1642.98,-70.956,0.01
369242.281,2532844,1644.09,-71.086,0.01
369242.281,2532944,1645.67,-71.216,0.01
369342.281,2531844,1651.06,-69.872,0.01
369342.281,2531944,1649.24,-69.921,0.01
369342.281,2532044,1647.18,-70.046,0.01
369342.281,2532144,1639.52,-70.17,0.01
369342.281,2532244,1634.67,-70.295,0.01
369342.281,2532344,1635.4,-70.419,0.01
369342.281,2532444,1635.57,-70.544,0.01
369342.281,2532544,1636.53,-70.669,0.01
369342.281,2532644,1637.58,-70.793,0.01
369342.281,2532744,1638.9,-70.918,0.01
369342.281,2532844,1640.77,-71.043,0.01
369342.281,2532944,1642.89,-71.168,0.01
