x,y,z,aCB_mGal,std_dev
669729,136647,0.01,-6.014188528,0.1
669729,143147,0.01,-9.621958028,0.1
669729,149647,0.01,-13.79276581,0.1
669729,156147,0.01,-14.61948855,0.1
669729,162647,0.01,-12.77887753,0.1
669729,169147,0.01,-13.60310779,0.1
669729,175647,0.01,-15.52860377,0.1
669729,182147,0.01,-16.75724488,0.1
669729,188647,0.01,-18.49594789,0.1
669729,195147,0.01,-19.81790397,0.1
669729,201647,0.01,-20.54259278,0.1
669729,208147,0.01,-20.26247213,0.1
669729,214647,0.01,-21.19588986,0.1
669729,221147,0.01,-23.06453081,0.1
669729,227647,0.01,-22.09459763,0.1
669729,234147,0.01,-19.23775831,0.1
669729,240647,0.01,-16.13229555,0.1
669729,247147,0.01,-14.05666832,0.1
669729,253647,0.01,-12.37489308,0.1
669729,260147,0.01,-9.846190496,0.1
669729,266647,0.01,-7.262170757,0.1
669729,273147,0.01,-4.870414061,0.1
669729,279647,0.01,-2.161901457,0.1
669729,286147,0.01,0.421718381,0.1
669729,292647,0.01,1.834332056,0.1
669729,299147,0.01,1.948364041,0.1
669729,305647,0.01,2.82778922,0.1
669729,312147,0.01,4.623414112,0.1
669729,318647,0.01,5.397905718,0.1
669729,325147,0.01,5.819218649,0.1
676229,110647,0.01,6.069709133,0.1
676229,117147,0.01,6.263310874,0.1
676229,123647,0.01,5.017585296,0.1
676229,130147,0.01,2.395228088,0.1
676229,136647,0.01,-2.397621424,0.1
676229,143147,0.01,-7.311129265,0.1
676229,149647,0.01,-10.88481606,0.1
676229,156147,0.01,-11.84620093,0.1
676229,162647,0.01,-13.42242905,0.1
676229,169147,0.01,-16.24568891,0.1
676229,175647,0.01,-17.70349616,0.1
676229,182147,0.01,-18.53210267,0.1
676229,188647,0.01,-20.15073633,0.1
676229,195147,0.01,-22.28946707,0.1
676229,201647,0.01,-23.35411777,0.1
676229,208147,0.01,-22.28994299,0.1
676229,214647,0.01,-22.02496049,0.1
676229,221147,0.01,-22.63753695,0.1
676229,227647,0.01,-20.34302222,0.1
676229,234147,0.01,-18.20470714,0.1
676229,240647,0.01,-18.99143898,0.1
676229,247147,0.01,-19.14498118,0.1
676229,253647,0.01,-16.41430318,0.1
676229,260147,0.01,-13.01638757,0.1
676229,266647,0.01,-11.25255109,0.1
676229,273147,0.01,-10.32381591,0.1
676229,279647,0.01,-7.414242322,0.1
676229,286147,0.01,-3.3284332,0.1
676229,292647,0.01,-0.004617129,0.1
676229,299147,0.01,1.980821317,0.1
676229,305647,0.01,3.689799248,0.1
676229,312147,0.01,4.894120143,0.1
676229,318647,0.01,5.385525236,0.1
676229,325147,0.01,5.947410502,0.1
682729,110647,0.01,8.923347438,0.1
682729,117147,0.01,8.749825918,0.1
682729,123647,0.01,6.816970374,0.1
682729,130147,0.01,4.713796652,0.1
682729,136647,0.01,0.332934243,0.1
682729,143147,0.01,-4.383420072,0.1
682729,149647,0.01,-7.19620361,0.1
682729,156147,0.01,-9.951088336,0.1
682729,162647,0.01,-14.26922929,0.1
682729,169147,0.01,-16.60202954,0.1
682729,175647,0.01,-16.985301,0.1
682729,182147,0.01,-20.13395012,0.1
682729,188647,0.01,-23.96509436,0.1
682729,195147,0.01,-24.02604369,0.1
682729,201647,0.01,-21.65099684,0.1
682729,208147,0.01,-19.56414788,0.1
682729,214647,0.01,-19.95031189,0.1
682729,221147,0.01,-20.9225341,0.1
682729,227647,0.01,-19.43915962,0.1
682729,234147,0.01,-19.16507553,0.1
682729,240647,0.01,-20.8040572,0.1
682729,247147,0.01,-20.10519496,0.1
682729,253647,0.01,-17.15924729,0.1
682729,260147,0.01,-15.13695736,0.1
682729,266647,0.01,-12.72355593,0.1
682729,273147,0.01,-8.986995154,0.1
682729,279647,0.01,-6.074948922,0.1
682729,286147,0.01,-3.931715152,0.1
682729,292647,0.01,-3.079463659,0.1
682729,299147,0.01,-1.845686488,0.1
682729,305647,0.01,1.378769974,0.1
682729,312147,0.01,3.968014462,0.1
682729,318647,0.01,4.848163898,0.1
682729,325147,0.01,6.220827392,0.1
689229,110647,0.01,13.07310012,0.1
689229,117147,0.01,10.84687989,0.1
689229,123647,0.01,8.323456086,0.1
689229,130147,0.01,6.896971519,0.1
689229,136647,0.01,2.869734101,0.1
689229,143147,0.01,-2.306843461,0.1
689229,149647,0.01,-6.051795021,0.1
689229,156147,0.01,-10.82839198,0.1
689229,162647,0.01,-15.32755245,0.1
689229,169147,0.01,-16.08976788,0.1
689229,175647,0.01,-16.39370225,0.1
689229,182147,0.01,-20.98311501,0.1
689229,188647,0.01,-24.54192369,0.1
689229,195147,0.01,-22.54157678,0.1
689229,201647,0.01,-19.00819508,0.1
689229,208147,0.01,-17.78562015,0.1
689229,214647,0.01,-19.33482767,0.1
689229,221147,0.01,-20.13057956,0.1
689229,227647,0.01,-20.41637313,0.1
689229,234147,0.01,-21.76298433,0.1
689229,240647,0.01,-22.66918151,0.1
689229,247147,0.01,-19.49073947,0.1
689229,253647,0.01,-16.25588836,0.1
689229,260147,0.01,-14.64413878,0.1
689229,266647,0.01,-11.00373359,0.1
689229,273147,0.01,-6.031301311,0.1
689229,279647,0.01,-3.911649135,0.1
689229,286147,0.01,-3.009787258,0.1
689229,292647,0.01,-4.106954164,0.1
689229,299147,0.01,-5.453605695,0.1
689229,305647,0.01,-2.955933614,0.1
689229,312147,0.01,1.198408336,0.1
689229,318647,0.01,2.944423756,0.1
689229,325147,0.01,4.463990658,0.1
695729,110647,0.01,16.99893102,0.1
695729,117147,0.01,14.15391823,0.1
695729,123647,0.01,10.66576642,0.1
695729,130147,0.01,9.276521621,0.1
695729,136647,0.01,6.318608882,0.1
695729,143147,0.01,0.975955235,0.1
695729,149647,0.01,-3.578811644,0.1
695729,156147,0.01,-8.234549411,0.1
695729,162647,0.01,-13.62070602,0.1
695729,169147,0.01,-15.82587255,0.1
695729,175647,0.01,-16.3886684,0.1
695729,182147,0.01,-19.18484684,0.1
695729,188647,0.01,-20.41683695,0.1
695729,195147,0.01,-20.19508602,0.1
695729,201647,0.01,-19.75916764,0.1
695729,208147,0.01,-19.57672401,0.1
695729,214647,0.01,-19.96617457,0.1
695729,221147,0.01,-21.78500037,0.1
695729,227647,0.01,-23.82915602,0.1
695729,234147,0.01,-25.12166409,0.1
695729,240647,0.01,-23.8750527,0.1
695729,247147,0.01,-19.41144738,0.1
695729,253647,0.01,-16.30582865,0.1
695729,260147,0.01,-14.39596963,0.1
695729,266647,0.01,-11.14975586,0.1
695729,273147,0.01,-9.033079175,0.1
695729,279647,0.01,-8.428569922,0.1
695729,286147,0.01,-4.69470122,0.1
695729,292647,0.01,-1.697838051,0.1
695729,299147,0.01,-2.77834272,0.1
695729,305647,0.01,-1.913516807,0.1
695729,312147,0.01,1.80121271,0.1
695729,318647,0.01,3.513847009,0.1
695729,325147,0.01,4.091248182,0.1
702229,110647,0.01,21.17688989,0.1
702229,117147,0.01,15.9812935,0.1
702229,123647,0.01,11.32318634,0.1
702229,130147,0.01,10.19413402,0.1
702229,136647,0.01,8.632455368,0.1
702229,143147,0.01,5.059921945,0.1
702229,149647,0.01,2.924136869,0.1
702229,156147,0.01,-0.645620682,0.1
702229,162647,0.01,-7.616990085,0.1
702229,169147,0.01,-11.87196969,0.1
702229,175647,0.01,-12.84295698,0.1
702229,182147,0.01,-13.47568395,0.1
702229,188647,0.01,-14.81772317,0.1
702229,195147,0.01,-17.96140899,0.1
702229,201647,0.01,-21.09508357,0.1
702229,208147,0.01,-21.91058002,0.1
702229,214647,0.01,-22.32559183,0.1
702229,221147,0.01,-23.3867914,0.1
702229,227647,0.01,-24.90105277,0.1
